true_trial,false_trial,emotion,difficulty,trial,level
1,39,1,33.69226986,377,1
93,43,2,33.66463671,378,2
31,21,4,33.63852411,379,1
1,50,1,33.6259001,380,1
79,2,3,33.6222375,381,6
27,32,3,33.6140245,382,6
94,49,2,33.61239869,383,2
11,52,2,33.60290811,384,2
71,63,3,33.56786069,385,6
93,27,2,33.56655425,386,2
105,104,3,33.53965419,387,6
24,91,3,33.53656093,388,6
11,81,2,33.53071299,389,2
93,24,2,33.51992983,390,2
94,41,2,33.51274701,391,2
1,45,1,33.49633654,392,1
93,47,2,33.47994486,393,2
41,13,5,33.37791046,394,1
1,29,1,33.37772832,395,1
33,25,4,33.33768897,396,1
75,92,3,33.32703853,397,6
25,2,3,33.31684862,398,6
105,38,3,33.31330924,399,6
23,16,3,33.25040295,400,6
41,10,5,33.24924989,401,1
93,25,2,33.2446447,402,2
79,32,3,33.21767592,403,6
106,1,5,33.19731975,404,1
24,87,3,33.18399398,405,6
92,53,1,33.12010754,406,1
64,23,2,33.11968811,407,2
106,14,5,33.09828948,408,1
14,44,2,33.07478883,409,2
11,40,2,33.02127685,410,2
21,18,3,33.01269981,411,6
72,100,3,32.97317246,412,6
27,100,3,32.96998337,413,6
21,90,3,32.96258999,414,6
14,105,2,32.94036552,415,2
14,29,2,32.89383197,416,2
1,27,1,32.89252489,417,2
25,32,3,32.87642698,418,6
92,24,1,32.87015667,419,2
14,106,2,32.86863717,420,2
41,4,5,32.86067282,421,1
22,15,3,32.85845943,422,6
41,93,5,32.85336146,423,1
22,11,3,32.84887995,424,6
71,89,3,32.84176062,425,6
22,10,3,32.79666879,426,6
106,11,5,32.74875654,427,1
92,31,1,32.73801539,428,2
41,17,5,32.7369598,429,1
21,8,3,32.71063407,430,6
71,95,3,32.68803858,431,6
41,69,5,32.68775335,432,1
64,28,2,32.68766334,433,2
1,26,1,32.65241723,434,2
105,67,3,32.64489276,435,6
94,43,2,32.62157636,436,3
72,2,3,32.61376881,437,6
41,70,5,32.6037192,438,1
71,85,3,32.60285,439,6
106,9,5,32.59999513,440,1
64,21,2,32.59595083,441,3
93,105,2,32.58900521,442,3
93,44,2,32.56885817,443,3
14,51,2,32.55830745,444,3
41,7,5,32.54930532,445,1
94,27,2,32.51720421,446,3
93,106,2,32.51046266,447,3
68,73,2,32.50572619,448,3
71,86,3,32.50139111,449,6
79,100,3,32.49402797,450,6
94,24,2,32.47989741,451,3
71,88,3,32.47345367,452,6
11,26,2,32.45935089,453,3
1,25,1,32.45252565,454,2
94,47,2,32.43493596,455,3
27,62,3,32.43106615,456,6
27,4,3,32.42957936,457,6
41,2,5,32.42276786,458,1
93,29,2,32.40786398,459,3
14,71,2,32.40590384,460,3
1,40,1,32.40437719,461,2
64,49,2,32.39738028,462,3
106,3,5,32.36653009,463,1
70,23,2,32.36168719,464,3
33,20,4,32.3475124,465,1
64,41,2,32.30876112,466,3
11,109,2,32.30345309,467,3
106,5,5,32.3030666,468,1
24,99,3,32.29161232,469,6
25,100,3,32.27713692,470,6
24,31,3,32.23172789,471,6
94,25,2,32.21142681,472,3
27,1,3,32.20208489,473,6
72,62,3,32.18578424,474,6
93,51,2,32.18167296,475,3
72,32,3,32.16263085,476,6
23,35,3,32.1446679,477,7
41,6,5,32.13036812,478,1
23,9,3,32.10976551,479,7
1,46,1,32.09957618,480,2
105,82,3,32.09842277,481,7
106,15,5,32.0886972,482,1
79,4,3,32.07262783,483,7
33,14,4,32.07076471,484,1
41,20,5,32.06939132,485,1
14,110,2,32.05301898,486,3
93,71,2,32.03115667,487,3
41,12,5,32.01002739,488,1
79,62,3,31.99128831,489,7
70,28,2,31.97112799,490,3
23,108,3,31.93453739,491,7
75,14,3,31.91594258,492,7
70,21,2,31.90096314,493,3
24,5,3,31.89487857,494,7
14,30,2,31.88429353,495,3
92,48,1,31.87024562,496,2
79,1,3,31.86176059,497,7
23,37,3,31.85284517,498,7
1,51,1,31.81794431,499,2
24,84,3,31.79550926,500,7
41,16,5,31.7891718,501,1
14,42,2,31.76876629,503,3
33,13,4,31.7411128,504,1
25,62,3,31.74028365,505,7
27,33,3,31.71415735,506,7
70,49,2,31.70904636,507,3
24,65,3,31.70673035,508,7
25,4,3,31.70542738,509,7
21,63,3,31.70497437,510,7
41,92,5,31.69003574,511,1
24,3,3,31.67970151,512,7
93,110,2,31.65016836,513,3
41,66,5,31.64990372,514,1
70,41,2,31.64894038,515,3
68,22,2,31.61475831,516,3
106,13,5,31.61448266,517,1
94,105,2,31.59669104,518,3
1,33,1,31.56882243,519,2
94,44,2,31.54672111,520,3
11,46,2,31.52892366,521,3
94,106,2,31.520603,522,3
92,76,1,31.49520265,523,2
27,17,3,31.48893316,524,7
106,10,5,31.48314252,525,1
25,1,3,31.47930132,526,7
64,43,2,31.47647223,527,3
68,53,2,31.47488288,528,3
41,68,5,31.46444247,529,1
14,39,2,31.45740191,530,3
22,14,3,31.42971232,531,7
24,109,3,31.42595415,532,7
27,66,3,31.42363681,533,7
79,33,3,31.39601288,534,7
94,29,2,31.38426221,535,3
1,105,1,31.3780633,536,2
93,30,2,31.37302824,537,3
14,45,2,31.37183731,538,3
27,12,3,31.36841116,539,7
64,27,2,31.36567069,540,3
11,76,2,31.35111409,541,3
64,24,2,31.3431273,542,3
68,79,2,31.30630153,543,3
64,47,2,31.29207118,544,3
22,94,3,31.27935882,545,7
106,93,5,31.25567697,546,1
42,1,5,31.2546193,547,1
21,89,3,31.23889891,548,7
31,105,4,31.22927606,549,1
22,68,3,31.20443499,550,7
42,14,5,31.19588154,551,1
94,51,2,31.19542151,552,3
68,59,2,31.18878503,553,4
93,42,2,31.18508328,554,4
79,17,3,31.16478755,555,7
27,64,3,31.1412698,556,7
31,22,4,31.13852909,557,1
68,77,2,31.10286023,558,4
79,12,3,31.09416414,559,7
106,69,5,31.0913411,560,1
106,4,5,31.08944445,561,1
64,25,2,31.08709332,562,4
94,71,2,31.04929591,563,4
79,66,3,31.03516275,564,7
27,13,3,31.0237485,565,7
106,70,5,30.9986912,566,1
25,33,3,30.99544685,567,7
11,31,2,30.9924228,568,4
106,17,5,30.9781537,569,1
22,70,3,30.94185021,570,7
105,98,3,30.94172088,571,7
70,43,2,30.93345755,572,4
66,23,2,30.93175414,573,4
93,39,2,30.88390024,574,4
92,81,1,30.86568223,575,2
1,71,1,30.86120677,576,2
42,11,5,30.86097676,577,1
22,69,3,30.85985895,578,7
1,110,1,30.85946814,579,2
92,59,1,30.85290602,580,2
1,106,1,30.85118016,581,2
1,107,1,30.82438608,582,2
15,23,2,30.82239721,583,4
93,45,2,30.82153863,584,4
70,27,2,30.8186647,585,4
70,24,2,30.81708813,586,4
71,19,3,30.8074965,587,7
21,88,3,30.7981542,588,7
21,85,3,30.78922584,589,7
22,93,3,30.78653993,590,7
106,7,5,30.7856984,591,1
25,17,3,30.77609775,592,7
70,47,2,30.75996447,593,4
79,64,3,30.75778961,594,7
27,91,3,30.75069483,595,7
42,9,5,30.74927971,596,1
14,107,2,30.74569536,597,4
25,66,3,30.73955531,598,7
79,13,3,30.73705154,599,8
22,2,3,30.67959883,600,8
75,100,3,30.67546601,601,8
94,110,2,30.67543934,602,4
13,23,2,30.67273799,603,4
25,12,3,30.64666962,604,8
106,2,5,30.64506659,605,1
92,77,1,30.59923569,606,2
42,3,5,30.59802895,607,1
70,25,2,30.57980105,608,4
109,25,4,30.56264431,609,1
66,28,2,30.53533507,610,4
22,92,3,30.51789862,611,8
92,52,1,30.51637343,612,2
42,5,5,30.51283704,613,1
24,8,3,30.47667975,614,8
15,28,2,30.47365255,615,4
25,64,3,30.46140575,616,8
64,44,2,30.46083461,617,4
75,2,3,30.46058109,618,8
66,21,2,30.45158363,619,4
64,105,2,30.44349252,620,4
69,28,1,30.43134808,621,2
71,34,3,30.42556576,622,8
27,87,3,30.41818587,623,8
15,21,2,30.41755607,624,4
69,47,1,30.41502905,625,2
79,91,3,30.40238584,626,8
106,6,5,30.37489153,627,2
64,106,2,30.37350162,628,4
94,30,2,30.36744645,629,4
42,15,5,30.35999839,630,2
69,43,1,30.34808134,631,2
41,91,5,30.31405825,632,2
93,107,2,30.31361203,633,4
25,13,3,30.31177453,634,8
31,71,4,30.29877703,635,1
22,32,3,30.29765847,636,8
64,29,2,30.29598549,637,4
13,28,2,30.29355209,638,4
106,20,5,30.28026191,639,2
66,49,2,30.26207392,640,4
33,7,4,30.25849725,641,1
106,12,5,30.25179574,642,2
69,42,1,30.24070515,643,2
72,66,3,30.24049234,644,8
68,108,2,30.23882103,645,4
33,18,4,30.23626771,646,1
15,49,2,30.22987171,647,4
13,21,2,30.21605773,648,4
94,42,2,30.20525381,649,4
15,41,2,30.1980092,650,4
66,41,2,30.18928941,651,4
71,104,3,30.18563367,652,8
69,41,1,30.17717381,653,2
69,30,1,30.1741535,654,2
23,78,3,30.16630375,655,8
69,44,1,30.16107573,656,2
1,73,1,30.12347875,657,2
105,96,3,30.10794063,658,8
24,90,3,30.10297512,659,8
69,23,1,30.09651017,660,2
79,87,3,30.08238514,661,8
106,92,5,30.07146391,662,2
25,91,3,30.07133123,663,8
64,51,2,30.06931939,664,4
71,38,3,30.04893737,665,8
106,16,5,30.04084922,666,2
106,66,5,30.04034917,667,2
70,44,2,30.03999177,668,4
75,32,3,30.03158783,669,8
105,7,3,30.02827007,670,8
13,49,2,30.02375908,671,4
68,55,2,30.02264154,672,4
2,23,2,30.01396453,673,4
68,50,2,30.01389729,674,4
69,49,1,29.99580558,675,2
13,41,2,29.96797076,676,4
21,95,3,29.96747517,677,8
1,108,1,29.96294789,678,2
42,13,5,29.96290914,679,2
75,62,3,29.95791502,680,8
33,9,4,29.95114201,681,1
33,74,4,29.93502583,682,1
64,71,2,29.92835165,683,4
68,56,2,29.9276857,684,4
11,103,2,29.90156826,685,5
94,39,2,29.90088227,686,5
41,94,5,29.89518456,687,2
73,15,3,29.8914149,688,8
73,11,3,29.88945045,689,8
72,4,3,29.88201295,690,8
70,29,2,29.87024002,691,5
42,10,5,29.86609564,692,2
69,21,1,29.86375471,693,2
69,39,1,29.85092189,694,2
106,68,5,29.84463246,695,2
73,10,3,29.83790895,696,8
1,83,1,29.8348857,697,2
94,45,2,29.8314541,698,5
33,77,4,29.8193367,699,1
92,109,1,29.80977445,700,2
21,86,3,29.8001661,701,8
69,50,1,29.79454313,702,2
33,75,4,29.79057157,703,1
72,1,3,29.77066374,704,8
92,54,1,29.74315822,705,2
25,87,3,29.74240491,706,8
70,105,2,29.73279303,707,5
92,84,1,29.72907628,708,2
1,31,1,29.72466598,709,2
1,24,1,29.72460077,710,2
107,1,5,29.70625347,711,2
11,61,2,29.69142405,712,5
69,45,1,29.68447038,713,2
41,64,5,29.67914393,714,2
70,106,2,29.67454774,715,5
31,79,4,29.66309389,716,1
2,28,2,29.65827269,717,5
107,14,5,29.63028992,718,2
11,74,2,29.62691269,719,5
72,64,3,29.61544625,720,8
15,43,2,29.61007899,721,5
109,20,4,29.59887472,722,1
2,21,2,29.59206081,723,5
68,54,2,29.59032578,724,5
69,29,1,29.58322636,725,2
64,110,2,29.58178689,726,5
27,99,3,29.56061018,727,8
42,4,5,29.54323207,728,2
92,80,1,29.51366646,729,2
15,24,2,29.51127316,730,5
15,27,2,29.47271048,731,5
22,100,3,29.46644405,732,8
105,46,3,29.46198208,733,8
72,91,3,29.45970097,734,8
14,73,2,29.45122631,735,5
66,43,2,29.44757563,736,5
22,4,3,29.4447874,737,8
15,47,2,29.43496752,738,5
27,31,3,29.43326325,739,8
70,51,2,29.42343842,740,5
33,72,4,29.41776888,741,1
42,17,5,29.41403866,742,2
11,33,2,29.40547863,743,5
2,49,2,29.40516634,744,5
21,19,3,29.37657777,745,8
1,53,1,29.37273178,746,2
2,41,2,29.36329785,747,5
71,67,3,29.36282134,748,8
94,107,2,29.36220138,749,5
12,23,2,29.34233957,750,5
109,14,4,29.34117328,751,1
42,93,5,29.33729425,752,2
33,17,4,29.33717856,753,1
64,30,2,29.33088605,754,5
66,24,2,29.32710912,755,5
66,27,2,29.32689554,756,5
93,28,1,29.31126643,757,2
107,11,5,29.30461654,758,2
15,25,2,29.29585284,759,5
13,43,2,29.29211871,760,5
93,47,1,29.28893885,761,3
70,71,2,29.28576172,762,5
79,99,3,29.27020075,763,8
66,47,2,29.26666201,764,5
42,7,5,29.26609761,765,2
5,28,1,29.24166925,766,3
5,47,1,29.22835668,767,3
22,1,3,29.22447819,768,8
93,43,1,29.22111629,769,3
79,31,3,29.21433911,770,8
92,103,1,29.21070429,771,3
64,42,2,29.20789127,772,5
42,2,5,29.19497106,773,2
42,69,5,29.19411631,774,2
107,9,5,29.18348443,775,2
13,24,2,29.18000646,776,5
33,12,4,29.17462099,777,2
11,104,2,29.16973661,778,5
5,43,1,29.16507839,779,3
24,63,3,29.16218526,780,8
1,48,1,29.16052459,781,3
69,27,1,29.15340127,782,3
13,27,2,29.15070742,783,5
11,101,2,29.14768315,784,5
27,5,3,29.13508957,785,9
42,70,5,29.13196302,786,2
33,97,4,29.12380902,787,2
93,42,1,29.11875812,788,3
13,47,2,29.10348581,789,5
27,84,3,29.09908841,790,9
10,23,2,29.09454658,791,5
66,25,2,29.09129587,792,5
11,57,2,29.06840465,793,5
5,42,1,29.06799971,794,3
93,30,1,29.05134615,795,3
93,41,1,29.04990911,796,3
23,58,3,29.04965814,797,9
93,44,1,29.03232585,798,3
22,62,3,29.02978031,799,9
5,41,1,29.02213163,800,3
109,13,4,29.01655706,801,2
70,30,2,29.01265003,802,5
31,6,4,29.00849432,803,2
5,30,1,29.00506945,804,3
107,3,5,29.00375753,805,2
24,89,3,29.00356824,806,9
70,110,2,29.00228383,807,5
5,44,1,28.99438601,808,3
27,65,3,28.99386782,809,9
14,22,2,28.98238883,811,5
33,3,4,28.9707079,812,2
93,73,2,28.96730443,813,5
93,23,1,28.96693346,814,3
12,28,2,28.96267895,815,5
69,26,1,28.95345058,816,3
23,20,3,28.9525569,817,9
13,25,2,28.95249969,818,6
70,42,2,28.94398634,819,6
21,34,3,28.94243268,820,9
5,23,1,28.93320552,821,3
107,5,5,28.92812653,822,2
72,33,3,28.91809797,823,9
42,20,5,28.91659468,824,2
79,5,3,28.91088188,825,9
64,39,2,28.91076844,826,6
42,6,5,28.89779021,827,2
27,3,3,28.89519677,828,9
25,99,3,28.89136634,829,9
31,27,4,28.88151951,830,2
12,21,2,28.87564796,831,6
93,49,1,28.87198718,832,3
105,81,3,28.8689411,833,9
22,33,3,28.86605064,834,9
71,82,3,28.86478257,835,9
72,87,3,28.85979586,836,9
5,49,1,28.84861399,837,3
15,44,2,28.83922427,838,6
64,45,2,28.83359034,839,6
84,23,4,28.82943705,840,2
79,84,3,28.82108177,841,9
72,12,3,28.81144122,842,9
42,12,5,28.80257439,843,2
69,25,1,28.77206665,845,3
107,15,5,28.7590317,846,2
100,23,2,28.75770575,847,6
2,43,2,28.74944052,848,6
10,28,2,28.7479437,849,6
27,109,3,28.74093021,850,9
25,31,3,28.73842,851,9
69,40,1,28.73790239,852,3
79,65,3,28.73721021,853,9
93,21,1,28.73319411,854,3
5,21,1,28.73084371,855,3
21,38,3,28.7280922,856,9
22,17,3,28.72637907,857,9
93,39,1,28.71884855,858,3
79,3,3,28.71066665,859,9
106,91,5,28.7104784,860,2
5,39,1,28.70599004,861,3
12,49,2,28.68598414,862,6
10,21,2,28.68148712,863,6
70,39,2,28.67635443,864,6
93,50,1,28.66243592,865,3
5,50,1,28.65866075,866,3
15,29,2,28.6534561,867,6
2,24,2,28.64660477,868,6
14,53,2,28.63245726,869,6
69,23,2,28.62840244,870,6
12,41,2,28.62251497,871,6
21,104,3,28.61609588,872,9
2,27,2,28.60855244,873,6
105,16,3,28.60644866,874,9
68,52,2,28.6018395,875,6
42,16,5,28.59695673,876,2
70,45,2,28.59285915,877,6
