row,Track,Category,Level,Album,id,Anger,Fear,Happy,Sad,Tender,Gender,Age,Musicianship,Emotion,Tension,Energy,Valence
1324,24,Happy,Moderate,Man of Galilee CD1,27,1,1,6,1,1,Male,24,1,Discrete,NA,NA,NA
1325,25,Happy,Moderate,Oliver Twist,27,1,1,6,1,1,Male,24,1,Discrete,NA,NA,NA
1326,26,Happy,High,The Omen,27,1,1,2,1,6,Male,24,1,Discrete,NA,NA,NA
1327,27,Happy,High,Oliver Twist,27,1,3,6,1,1,Male,24,1,Discrete,NA,NA,NA
1328,28,Happy,High,Grizzly Man,27,1,1,1,1,7,Male,24,1,Discrete,NA,NA,NA
1329,29,Happy,High,The Portait of a Lady,27,1,1,3,1,7,Male,24,1,Discrete,NA,NA,NA
1330,30,Happy,High,Nostradamus,27,1,1,6,1,3,Male,24,1,Discrete,NA,NA,NA
1331,31,Sad,Moderate,The English Patient,27,1,1,1,7,3,Male,24,1,Discrete,NA,NA,NA
1332,32,Sad,Moderate,Running Scared,27,4,1,1,8,1,Male,24,1,Discrete,NA,NA,NA
1333,33,Sad,Moderate,The Portait of a Lady,27,3,1,1,7,1,Male,24,1,Discrete,NA,NA,NA
1334,34,Sad,Moderate,Big Fish,27,1,1,1,6,1,Male,24,1,Discrete,NA,NA,NA
1335,35,Sad,Moderate,Man of Galilee CD1,27,1,1,1,6,1,Male,24,1,Discrete,NA,NA,NA
1336,36,Sad,High,Angel Heart,27,1,3,1,4,1,Male,24,1,Discrete,NA,NA,NA
1337,37,Sad,High,Batman,27,1,3,3,3,1,Male,24,1,Discrete,NA,NA,NA
1338,38,Sad,High,Dracula,27,1,5,1,3,1,Male,24,1,Discrete,NA,NA,NA
1339,39,Sad,High,Shakespeare In Love,27,1,1,1,3,3,Male,24,1,Discrete,NA,NA,NA
1340,40,Sad,High,The English Patient,27,1,1,1,3,6,Male,24,1,Discrete,NA,NA,NA
1341,41,Tender,Moderate,Shine,27,1,1,1,2,7,Male,24,1,Discrete,NA,NA,NA
1342,42,Tender,Moderate,Pride & Prejudice,27,1,1,4,1,8,Male,24,1,Discrete,NA,NA,NA
1343,43,Tender,Moderate,Dances with Wolves,27,1,1,4,1,9,Male,24,1,Discrete,NA,NA,NA
1344,44,Tender,Moderate,Pride & Prejudice,27,1,1,3,1,6,Male,24,1,Discrete,NA,NA,NA
1345,45,Tender,Moderate,Oliver Twist,27,1,1,1,1,4,Male,24,1,Discrete,NA,NA,NA
1346,46,Tender,High,Batman,27,1,1,1,5,3,Male,24,1,Discrete,NA,NA,NA
1347,47,Tender,High,Oliver Twist,27,1,1,1,3,3,Male,24,1,Discrete,NA,NA,NA
1348,48,Tender,High,Dracula,27,1,1,1,2,3,Male,24,1,Discrete,NA,NA,NA
1349,49,Tender,High,Juha,27,1,1,6,2,3,Male,24,1,Discrete,NA,NA,NA
1350,50,Tender,High,Oliver Twist,27,1,1,1,5,3,Male,24,1,Discrete,NA,NA,NA
1351,1,Anger,Moderate,Lethal weapon 3,28,8,3,1,1,1,Female,27,2,Discrete,NA,NA,NA
1352,2,Anger,Moderate,The Rainmaker,28,5,8,1,1,1,Female,27,2,Discrete,NA,NA,NA
1353,3,Anger,Moderate,The Alien Trilogy,28,6,3,4,1,1,Female,27,2,Discrete,NA,NA,NA
1354,4,Anger,Moderate,Cape Fear,28,7,7,1,1,1,Female,27,2,Discrete,NA,NA,NA
1355,5,Anger,Moderate,The Fifth Element,28,8,1,1,4,1,Female,27,2,Discrete,NA,NA,NA
1356,6,Anger,High,Crouching Tiger ,28,6,1,5,1,1,Female,27,2,Discrete,NA,NA,NA
1357,7,Anger,High,Batman Returns,28,6,4,1,1,1,Female,27,2,Discrete,NA,NA,NA
1358,8,Anger,High,Man of Galilee CD1,28,8,4,1,6,2,Female,27,2,Discrete,NA,NA,NA
1359,9,Anger,High,The Untouchables,28,6,3,3,1,1,Female,27,2,Discrete,NA,NA,NA
1360,10,Anger,High,Oliver Twist,28,4,9,1,1,1,Female,27,2,Discrete,NA,NA,NA
1361,11,Fear,Moderate,Batman Returns,28,1,9,1,1,1,Female,27,2,Discrete,NA,NA,NA
1362,12,Fear,Moderate,JFK,28,4,9,1,1,3,Female,27,2,Discrete,NA,NA,NA
1363,13,Fear,Moderate,JFK,28,1,7,1,1,1,Female,27,2,Discrete,NA,NA,NA
1364,14,Fear,Moderate,The Alien Trilogy,28,1,9,1,1,1,Female,27,2,Discrete,NA,NA,NA
1365,15,Fear,Moderate,Hannibal,28,1,9,1,3,1,Female,27,2,Discrete,NA,NA,NA
1366,16,Fear,High,Running Scared,28,4,8,1,1,1,Female,27,2,Discrete,NA,NA,NA
1367,17,Fear,High,The Untouchables,28,2,9,1,3,1,Female,27,2,Discrete,NA,NA,NA
1368,18,Fear,High,The Fifth Element,28,8,6,3,1,1,Female,27,2,Discrete,NA,NA,NA
1369,19,Fear,High,Lethal weapon 3,28,4,4,1,3,1,Female,27,2,Discrete,NA,NA,NA
1370,20,Fear,High,Man of Galilee CD1,28,7,1,3,1,1,Female,27,2,Discrete,NA,NA,NA
1371,21,Happy,Moderate,The Rainmaker,28,1,1,9,1,3,Female,27,2,Discrete,NA,NA,NA
1372,22,Happy,Moderate,Batman,28,1,1,6,1,1,Female,27,2,Discrete,NA,NA,NA
1373,23,Happy,Moderate,Shallow Grave,28,1,1,9,1,1,Female,27,2,Discrete,NA,NA,NA
1374,24,Happy,Moderate,Man of Galilee CD1,28,1,2,8,1,1,Female,27,2,Discrete,NA,NA,NA
1375,25,Happy,Moderate,Oliver Twist,28,3,1,7,3,1,Female,27,2,Discrete,NA,NA,NA
1376,26,Happy,High,The Omen,28,1,4,4,1,7,Female,27,2,Discrete,NA,NA,NA
1377,27,Happy,High,Oliver Twist,28,1,1,8,1,1,Female,27,2,Discrete,NA,NA,NA
1378,28,Happy,High,Grizzly Man,28,1,1,7,1,4,Female,27,2,Discrete,NA,NA,NA
1379,29,Happy,High,The Portait of a Lady,28,1,1,4,1,8,Female,27,2,Discrete,NA,NA,NA
1380,30,Happy,High,Nostradamus,28,1,1,4,1,6,Female,27,2,Discrete,NA,NA,NA
1381,31,Sad,Moderate,The English Patient,28,1,1,1,7,3,Female,27,2,Discrete,NA,NA,NA
1382,32,Sad,Moderate,Running Scared,28,7,3,1,6,1,Female,27,2,Discrete,NA,NA,NA
1383,33,Sad,Moderate,The Portait of a Lady,28,1,1,1,9,5,Female,27,2,Discrete,NA,NA,NA
1384,34,Sad,Moderate,Big Fish,28,1,1,1,8,7,Female,27,2,Discrete,NA,NA,NA
1385,35,Sad,Moderate,Man of Galilee CD1,28,3,1,1,9,7,Female,27,2,Discrete,NA,NA,NA
1386,36,Sad,High,Angel Heart,28,1,1,3,1,6,Female,27,2,Discrete,NA,NA,NA
