Labels,TargetEmo,ComparisonEmo,TrialNum,Track110
Sad-Fearful,4,2,533,30
Fearful-Angry,2,1,534,37
Fearful-Happy,2,3,535,37
Happy-Angry,3,1,536,40
Sad-Angry,4,1,537,41
Sad-Fearful,4,2,538,41
Sad-Angry,4,1,539,42
Sad-Fearful,4,2,540,42
Happy-Angry,3,1,541,44
Happy-Fearful,3,2,542,44
Sad-Angry,4,1,543,45
Sad-Fearful,4,2,544,45
Sad-Angry,4,1,545,47
Sad-Fearful,4,2,546,47
Happy-Angry,3,1,547,50
Happy-Angry,3,1,548,52
Happy-Fearful,3,2,549,52
Sad-Happy,4,3,550,62
Sad-Tender,4,5,551,62
Angry-Happy,1,3,552,65
Angry-Tender,1,5,553,65
Sad-Angry,4,1,554,76
Sad-Fearful,4,2,555,76
Sad-Angry,4,1,556,83
Sad-Fearful,4,2,557,83
Angry-Happy,1,3,558,99
Angry-Tender,1,5,559,99
Sad-Happy,4,3,560,100
Sad-Tender,4,5,561,100
Happy-Angry,3,1,562,102
Happy-Angry,3,1,563,103
Happy-Fearful,3,2,564,103
Sad-Angry,4,1,565,106
Sad-Fearful,4,2,566,106
Sad-Angry,4,1,567,107
Sad-Fearful,4,2,568,107
Sad-Angry,4,1,569,110
Sad-Fearful,4,2,570,110
