"item","outfit","z.outfit","infit","z.infit"
"binary_responses1",0.991440351442248,-0.159615589700564,0.535331536176957,NA
"binary_responses2",0.956505128063415,0.142393425808096,0.560176652761047,-2.39382121796288
"binary_responses3",1.05985779931157,0.279964747678558,0.556839313646809,-3.39484836173905
"binary_responses4",1.23578109571546,0.541870716833316,0.568587511030085,-1.66432747890939
"binary_responses6",0.786562837598498,-0.397967423748913,0.539771455245215,-3.75312297753661
"binary_responses7",1.11418779933455,0.430266491391691,0.548946616741514,-4.73190090271115
"binary_responses8",0.812681505047661,-0.246542566332677,0.542976244729606,-3.41958297214566
"binary_responses9",0.931292805296853,-0.504774875269093,0.536529988881279,-19.9366695408904
"binary_responses10",0.828155333375551,-0.418289767229069,0.547831460293587,-4.7506052207977
"binary_responses11",0.722271551345325,-0.891941207678169,0.539302219799153,-5.05478377690885
"binary_responses12",0.665911215561593,-0.698845096235245,0.544066566796056,-3.63804393683631
"binary_responses14",0.780293065294788,-0.528876259977809,0.547680628281828,-4.20825178835502
"binary_responses15",0.891041855731063,-0.431620471409726,0.54212687701348,-7.90860078610676
"binary_responses16",0.795094919749026,-0.442125219929458,0.54820838831527,-4.20576970641224
"binary_responses17",1.01374548741946,0.213614694536787,0.545427808758514,NA
"binary_responses18",0.81690015918551,-0.234039672276199,0.5635910680258,-3.05801748800942
"binary_responses19",1.02401753094661,0.191490685547244,0.547550653576005,-9.77667488144142
"binary_responses20",0.727972856646292,-0.231345457374593,0.567943280505708,-2.18128386962186
"binary_responses22",0.99077219537695,-0.211825075760628,0.539866481442775,NA
"binary_responses23",0.956331106135102,-0.378596676702802,0.538105633830146,NA
"binary_responses24",0.898137479003986,-0.67291203721123,0.532445854468644,-18.8627807658037
"binary_responses26",0.943320316681844,-0.414976152284548,0.538037525913022,-21.0947241332992
"binary_responses27",0.907970936646241,-0.559479761980367,0.536559825566732,-15.2531818765549
"binary_responses28",0.914433850612707,-0.362997851199301,0.540698409461491,-8.60053805991632
"binary_responses30",0.985812104355189,-0.145161069525544,0.540236891260992,NA
"binary_responses31",0.890873161290629,-0.738753374249599,0.536433219788704,-14.8052228468468
"binary_responses32",0.878544812142572,-0.56367311826183,0.540745966944887,-9.02446472950182
"binary_responses34",0.957533529220517,-0.211281177952986,0.526818632519275,-16.0116355854178
"binary_responses35",1.0422944741717,0.284854961289197,0.538433550567042,-9.75047198897462
"binary_responses36",0.904723738861571,-0.278253352277898,0.531935198384585,-6.87758677581252
"binary_responses37",0.997597056428923,-0.0413045248609783,0.53787131094702,NA
"binary_responses38",0.465155875031616,-1.13602554714873,0.515766420394648,-3.44880101239
"binary_responses39",0.873846382719586,-0.467148178570532,0.522752370916134,-7.45519509905309
"binary_responses40",0.465155875031616,-1.18177221740416,0.515766420394648,-3.44880101239
"binary_responses41",1.21011265830928,0.899522435838094,0.552707441184631,-7.78325395687615
"binary_responses42",0.465753016764252,-0.151579323660632,0.550660549878523,-0.84865880866436
"binary_responses43",1.56474881137345,1.0452594636299,0.565654547138022,-2.7091285494246
"binary_responses44",0.465753016764252,-0.109890490961651,0.550660549878523,-0.84865880866436
"binary_responses45",1.10699018776412,0.724556937481811,0.567179058152395,-13.984533303572
"binary_responses46",1.33709536918629,0.864148886739422,0.577567657261309,-3.29243786319072
"binary_responses47",1.55634271859619,1.48506080823369,0.573256056680052,-4.14495685548435
"binary_responses48",1.46505332733021,1.00345117445296,0.578669204833521,-3.00295555034699
"binary_responses49",1.09304027528674,0.736701736130222,0.559097415532592,-17.5753063882933
"binary_responses50",0.884885757544413,-0.109982170682956,0.565830298422298,-3.32952555117307
"binary_responses51",1.01139303233481,0.172474451455623,0.56936406132117,-3.31737887192858
"binary_responses52",0.886552343084432,-0.0139774979464914,0.572923501344998,-2.4582206076614
"binary_responses53",1.0821205014888,0.606658391621281,0.559996995400298,-15.6355756175337
"binary_responses54",0.827277429186665,0.0537513880965248,0.561695113434809,-1.5614948774285
"binary_responses55",0.91886679720689,0.0948591972471254,0.565058532530597,-2.18099013918894
"binary_responses56",0.211321930088695,-0.91058652946369,0.556428137206607,-1.20827586739542
"binary_responses57",1.15329486348157,0.541021332059187,0.572281488329261,-4.53852919901786
"binary_responses58",0.958064897195671,0.143886424322516,0.567344876775136,-2.18120028048859
"binary_responses59",1.11622656614391,0.45929454356796,0.568905239274942,-4.82212326096832
"binary_responses60",0.958064897195671,0.148737781295415,0.567344876775136,-2.18120028048859
"binary_responses61",0.993943289232338,-0.10134332189996,0.541971147493057,NA
"binary_responses62",0.992015488451739,-0.0242530803332362,0.546986711329908,-45.0030707888985
"binary_responses63",0.994572527389659,-0.0710879470362826,0.542616139622222,NA
"binary_responses64",0.999730899474708,0.0516821909027618,0.550952074802499,-14.511589623054
"binary_responses65",0.989836447970832,-0.178137602522852,0.534869374978053,NA
"binary_responses66",0.966790965412448,-0.25090973803603,0.528607476884525,-612.384537614632
"binary_responses68",0.955706123946511,-0.389061815570266,0.527339326320445,NA
"binary_responses69",1.0000025625064,0.0101709601522881,0.543194012734648,NA
"binary_responses70",1.03687807856285,0.342130703104419,0.547086502782185,-50.6946554198238
"binary_responses71",0.962513825950273,-0.20131455867401,0.543820601849311,-12.9747835290019
"binary_responses72",0.970129995467858,-0.0777647495912807,0.545939443845572,-9.29716572407729
"binary_responses76",1.26993626010604,0.770025942234099,0.57593819965447,-3.60974960259494
"binary_responses77",1.59594177748693,1.35186774710826,0.56832640675598,-3.70245598102602
"binary_responses78",1.42920867073531,0.858301677451571,0.563913814419278,-2.71794445882212
"binary_responses79",1.81710555688679,1.30853112782418,0.568879674122601,-2.36749565363419
"binary_responses80",1.48475419318619,0.986701484268185,0.554367701810105,-3.04519634179873
"binary_responses84",0.835989227649991,-0.0296282315157874,0.582482467948367,-1.8417800809574
"binary_responses85",2.0115240756413,1.20985864510779,0.593716411918909,-1.48732673592913
"binary_responses86",1.60285562287292,0.851037862592687,0.587299533260129,-1.14550320030853
