"ML","WLE","MAP","EAP"
-2.19530473919427,-2.17138707706076,-1.87990328773737,-1.9034292469936
0.0112264638751221,0.0173289790794819,0.0100898622498184,-0.00518118906573833
0.712322939057112,0.711130967049583,0.647461478215836,0.63951200199782
0.238921729373627,0.24198029775651,0.219607298420134,0.21011322302006
-0.636535765127295,-0.624826765509635,-0.565094176218883,-0.58544713763346
0.68686852762154,0.685845782708074,0.618427758259511,0.608552063128344
-1.51607275195753,-1.4996481393104,-1.32138388036063,-1.34357251523052
0.721212724796807,0.719975677591387,0.657859041017597,0.651570398905884
0.552723248812278,0.553132904417658,0.505990270801798,0.498364559550459
-0.713797947600306,-0.703889062375837,-0.64638842252548,-0.66387768793351
-0.0540617268546468,-0.0484966294958733,-0.0494280642955744,-0.0609243544405586
-0.092552925293645,-0.08660389200706,-0.084480570067144,-0.0973246636425791
-0.14734704330794,-0.140944138804397,-0.134339859467356,-0.147690507853689
-1.34924500471866,-1.33565393593813,-1.19799144036874,-1.21771731136763
0.252893110852363,0.2561408291698,0.230517225183488,0.220344549216197
-0.501138159506367,-0.491324472764715,-0.450239901926734,-0.467313887388961
0.403026512860431,0.404831716298771,0.368513252022952,0.359185557806579
-1.58790303967517,-1.57198045952044,-1.39253691910403,-1.4155397334538
0.785199258279836,0.783302714600784,0.715608206207414,0.709293294480743
-0.367511754526574,-0.358309061198519,-0.329603759251688,-0.348077183899606
-0.371249400421631,-0.363405072588103,-0.338199828873484,-0.354113514963311
-0.032999158522657,-0.027321038924113,-0.0300445114219759,-0.0426582177473559
-0.715669093708215,-0.702825900873944,-0.63075518399588,-0.651696503457218
0.370078192089895,0.372251711821628,0.337394833009414,0.326974412597686
1.19756236457742,1.19113829742595,1.08684536337533,1.0851278261022
-0.828892772446012,-0.817304916129536,-0.741646185785333,-0.761294318055882
-0.496938915376532,-0.488487072401323,-0.45273259792598,-0.468048318995606
0.0294665918319855,0.0347509514069994,0.0267850833545742,0.0148353503654469
0.507033729512847,0.507890071086882,0.463094402709099,0.454949233017824
-1.12118579944331,-1.10735348954492,-0.990096960895929,-1.01136795751909
-0.785691294099971,-0.775617849526502,-0.711832995991523,-0.729094368036223
0.223894792524966,0.227460621963102,0.203750577360678,0.191589090751265
0.68911254113045,0.688194772852002,0.628511428033859,0.621986339013065
-2.43304643029835,-2.39784745523602,-2.01423704157197,-2.04579935370234
-0.430157521058918,-0.422130585281454,-0.392369425063769,-0.407522657489193
-0.476227941544535,-0.466643923590953,-0.428302011058198,-0.445360714046288
0.236587495247508,0.239805102043115,0.216651844502355,0.206600574166034
-1.75442722031496,-1.73773013239288,-1.53822680910784,-1.5616590327778
-0.936267754654197,-0.926698799233807,-0.854730521210659,-0.870174419826161
-1.58159649870454,-1.56725713243816,-1.4024237744557,-1.42207018711753
0.675968976229957,0.675184466289852,0.616701112114679,0.610396421040754
0.588678225693866,0.588751046057243,0.538978899862098,0.531710497971516
-1.29282733286272,-1.27714446419219,-1.12951645866695,-1.15610686278626
2.19155435830295,2.16963832935201,1.93498475829347,1.94403292470039
-1.0061926625635,-0.994848698852703,-0.905660316117879,-0.924866017018841
1.50753867806586,1.49656433537277,1.35233885205632,1.35399111039515
-0.333663758697313,-0.325778847122421,-0.303041125278688,-0.317774647788822
-0.534409155217418,-0.523505083726379,-0.475751583560942,-0.495441771904591
0.600162502017796,0.600122536997483,0.542979018770679,0.533630411022693
-0.173637739609636,-0.166693086153136,-0.157542111967755,-0.171836486051505
-0.375207731179509,-0.367678194028505,-0.343091530150417,-0.357225349846052
0.886933804579375,0.88402378710294,0.809043217751625,0.804729843692721
-0.74433089110761,-0.732396939684863,-0.662137637782693,-0.681547216787286
-1.01530617293812,-1.00367425160618,-0.911652899914217,-0.930519675701015
0.922600445527391,0.919316088065952,0.841219657667475,0.836331102144741
0.186996311256268,0.190915324398148,0.170076009467977,0.158969239551849
-0.135259972655454,-0.129447074351848,-0.124214214637683,-0.136467746109114
0.219466818408219,0.222859693606374,0.200812824364644,0.191155951080097
-0.285996692306914,-0.278405982949303,-0.259801940070535,-0.274956529108534
1.02618696486965,1.02204037629989,0.939457870765886,0.935547761055937
-0.965865910427934,-0.951032072464778,-0.843731014746938,-0.869242893126457
-2.58546672188869,-2.55103598998045,-2.17869907174829,-2.20987865254574
-0.639178285667593,-0.630081089383067,-0.581864806103289,-0.59751718890672
-0.685731491412232,-0.676451588012959,-0.624107791797351,-0.640143936022253
-1.02626542829989,-1.01485025043374,-0.923542033564518,-0.94325048290717
0.572322004552112,0.572542517105341,0.525125181434725,0.518274565704717
0.0456482595186719,0.0504559758224018,0.0417514575783905,0.0315524750842857
-1.23725815605695,-1.22381709892692,-1.11451093549656,-1.13605909846405
0.0631100502202644,0.068468569858988,0.056802799534926,0.0411647714448798
-0.0212206685042173,-0.0165920599420639,-0.019561935981079,-0.0303723325680693
-0.145446941406165,-0.139998608505329,-0.1339006217013,-0.146150201018396
1.02199255186768,1.01923595600524,0.94411872247683,0.940316190725252
-1.11958169901523,-1.10585577103966,-1.00142136187061,-1.02249433108046
0.640122857895609,0.64021311793847,0.586057969034509,0.578352030251911
0.02399820287476,0.0280585850600104,0.0222390861242495,0.0123298895554231
-0.0745412655431995,-0.0692809197991391,-0.0683779285405226,-0.080207113781587
-0.106004984226288,-0.101044691459056,-0.0979826065164325,-0.109099842071154
-1.32328624282571,-1.30569377070786,-1.16284256732804,-1.18893473502387
0.93495916932898,0.932603289179945,0.855805030668191,0.851600227723432
-1.26776852235648,-1.25201971541583,-1.12489981405485,-1.14837802587775
0.0244348816764689,0.0293344367227904,0.0223012458620204,0.00983227413528322
0.732832606451225,0.732207342434099,0.674578031225111,0.668597185157441
-0.395326389477665,-0.388646666541533,-0.364549803453854,-0.377932468935036
-0.282358046811557,-0.275762261280486,-0.258715901742627,-0.271956611995556
0.0675121562529754,0.0717520710524038,0.062037851819524,0.05039706568349
-0.82732026850936,-0.81650526472746,-0.748140485311554,-0.766066432630841
-1.65151513306136,-1.63424292917711,-1.47490945733636,-1.49730106267223
-1.05650725581784,-1.04560256480477,-0.963579776562993,-0.98204002990578
-0.589272038249652,-0.581013447804586,-0.539733577338736,-0.554301058634486
-0.916947465305816,-0.903624295375684,-0.815291536270724,-0.83636979703297
-0.480031913135901,-0.47175624689519,-0.437026481073196,-0.453426788282925
-1.74243837085736,-1.72252775274622,-1.538992287684,-1.56300932887817
0.663780989775297,0.663690128987336,0.613450544722439,0.607118360490685
