"items.a","items.b","items.g","items.u","means","F1"
0.297673572046146,-1.65486656577871,0.073022644523897,1,0,1
-0.468915679395835,5.38626803421983,0.311558431167467,1,0,1
-0.342049274372692,5.99905801025113,0.327402548757788,1,0,1
-1.92012242529524,1.62393629559756,0.346011705388757,1,0,1
0.228993741767119,-9.47011319533093,0.454032676441112,1,0,1
0.0561359908202995,-30.0917180206679,0.437373641918641,1,0,1
0.121705010773939,-18.8972043854585,0.39721267596166,1,0,1
2.11148185686866,-1.36360204585323,0.0810835084559953,1,0,1
1.42317852415798,-2.75561206108489,0.0440283927174934,1,0,1
2.24473049379913,-2.2773427203709,0.108640766484817,1,0,1
2.46929163131029,-2.62955096999609,0.0929463404444659,1,0,1
1.1566074894226,-3.19393099548321,0.0578402664278745,1,0,1
1.10167653617023,-2.31315143490477,0.116663691335514,1,0,1
1.24783562201905,-3.07531709145945,0.0655926941037372,1,0,1
0.347671116466311,-2.25447490368056,0.0495860845661395,1,0,1
1.16061016884837,-3.65963285887314,0.077197081656528,1,0,1
0.63871341135612,-3.02843036061729,0.0567927249978788,1,0,1
1.25750733276342,-4.04059638427391,0.073482878918229,1,0,1
0.839495597592782,-0.722959253768831,0.0112154014516795,1,0,1
1.03859262949714,-1.48029985346473,0.0483714703261398,1,0,1
1.07828252357556,-1.74537642911722,0.0346522724066447,1,0,1
1.4007379857394,-1.51742580342668,0.0717691331959112,1,0,1
1.16342546935906,-1.81552128902275,0.0362067004698817,1,0,1
1.28144064962975,-2.17816687738839,0.0261974202061136,1,0,1
1.03990887787164,0.188153757145075,0.457678114939856,1,0,1
1.50600491146134,-0.621779599370371,0.537387706762312,1,0,1
0.885204465072397,-2.01049906755934,0.320523373063061,1,0,1
2.19367357055387,-0.908962212432309,0.477683241445411,1,0,1
2.47240127736173,-0.498768091004198,0.708515006191647,1,0,1
2.77537287107141,-0.766906925272655,0.732829344568788,1,0,1
0.38794366222817,0.0195093593142662,0.157603772324242,1,0,1
3.00380964699168,-2.57865994667962,0.366015135758363,1,0,1
1.31355859811711,-2.10017644258538,0.333312561090224,1,0,1
3.00380964699168,-2.57865994667962,0.366015135758362,1,0,1
0.022588343613062,-38.9786071972117,0.512297706706984,1,0,1
-3.43771518323885,1.5478869940217,0.498647640381319,1,0,1
-0.235691766212262,9.97481012828397,0.37530760767088,1,0,1
-3.43771518323885,1.5478869940217,0.498647640381319,1,0,1
6.78765773799413,0.166525227877827,0.750072005420672,1,0,1
0.663373300305292,-4.63142875963124,0.228630507615393,1,0,1
0.530479197839924,-4.96899560663828,0.169594379641788,1,0,1
0.609437628523997,-5.15856686404649,0.222177248038715,1,0,1
2.17592932335686,0.120093087244366,0.695085170660432,1,0,1
6.42381283573743,-1.00865077243964,0.818312818674518,1,0,1
4.92694873060297,-0.890666106543662,0.839064523544071,1,0,1
5.04502818878717,-1.07652493348744,0.871832550864196,1,0,1
3.17765186144813,0.40664101869744,0.739355087851772,1,0,1
1.40858379717284,-4.39458683463722,0.0622952345160657,1,0,1
0.935889237217089,-4.73505544678357,0.0794402948932615,1,0,1
2.895272177695,-3.88044755808244,0.0665052339773542,1,0,1
3.91751593326077,-0.253627887506654,0.852939548065052,1,0,1
0.874680047472278,-4.86750334606857,0.124136791768569,1,0,1
0.497579306713521,-4.60407480834324,0.248157698961804,1,0,1
0.874680047472277,-4.86750334606857,0.124136791768569,1,0,1
3.87500313583878,-0.00864566737789026,0.481822698956332,1,0,1
3.63868034874007,-0.300853410359329,0.576726416465456,1,0,1
1.60792948100942,0.193046414214557,0.494036861037786,1,0,1
4.00261863555969,-0.288883948790157,0.651415314935608,1,0,1
1.7880083100464,1.03923716346164,0.530132472109819,1,0,1
0.219210708840677,-1.59773927385279,0.35296985583229,1,0,1
0.104135876464261,6.76252196972141,0.534415948146159,1,0,1
0.301592610449293,-0.151841717999051,0.0930710259315653,1,0,1
0.405390108169431,-2.79700762775516,0.0457214226328897,1,0,1
0.416490770595787,-3.46735469869656,0.0681239706992784,1,0,1
0.362149613967585,-4.41352369538346,0.0912314191507181,1,0,1
2.74648553626262,-0.273343607419546,0.883380113823554,1,0,1
0.170170192788523,-12.3131936813719,0.45798225624544,1,0,1
0.419495811174738,-6.03956983991781,0.590308067687712,1,0,1
0.23580069843229,-12.4377764351758,0.401078890822604,1,0,1
0.704144076347838,-4.93242260742208,0.25905028467434,1,0,1
4.320015803472,-1.41896057343913,0.880024795607588,1,0,1
-0.101112729712633,31.5893371255472,0.380677289412936,1,0,1
0.204789039544202,-18.7139483269994,0.405113117544798,1,0,1
-0.806590085024849,5.0611538573005,0.383643276626492,1,0,1
-0.27188811264084,11.4168218624275,0.375480305801637,1,0,1
0.664249352251878,-6.33225786629517,0.574017980427799,1,0,1
1.424672813845,-2.42013846777838,0.867292868257214,1,0,1
0.370647096024751,-6.89430000142133,0.486642812591455,1,0,1
2.96027656879923,0.390858500776336,0.813558485204506,1,0,1
1.17899328612559,-0.621264572764903,0.82570559968903,1,0,1
0.143891697661166,-3.54833642322072,0.565849366608607,1,0,1
5.77489722999455,-0.217758267337715,0.680289195910959,1,0,1
-1.40515552538385,2.95546772474488,0.427515721653224,1,0,1
-1.40515552538385,2.95546772474489,0.427515721653223,1,0,1
-0.0415362235717254,54.555331418553,0.336406465760053,1,0,1
0.309529400377824,-6.96669370731337,0.20091608283234,1,0,1
4.65597863617312,-1.22713403942634,0.910010879250666,1,0,1
4.65597863617312,-1.22713403942634,0.910010879250666,1,0,1
1.86662310063916,-1.23128152996314,0.499859754312585,1,0,1
5.32053984412167,-0.150457159215302,0.652102594455558,1,0,1
0.696793082027107,-4.54952186765176,0.583744636026102,1,0,1
1.27568199689737,-1.7927036518553,0.738273071507898,1,0,1
0.479118762520263,-2.51790262790625,0.0382562700451438,1,0,1
3.50584438003948,0.0622694760359689,0.595258019241121,1,0,1
1.49657606201388,-2.03520565973181,0.664079868843619,1,0,1
1.49046431251256,-1.85518389575162,0.678591738311857,1,0,1
1.86453588974951,-0.0758570223598565,0.547914138760602,1,0,1
5.599048027347,0.210190460349894,0.54200989126909,1,0,1
4.88901017656978,-1.39513740489767,0.852469429747455,1,0,1
5.82714008687361,-1.16937644784181,0.834637602867953,1,0,1
4.87327243595984,-1.22677210300058,0.802882638125387,1,0,1
0.707428598275658,-0.922729627610845,0.452831965404451,1,0,1
1.14245344997948,-0.0961221252336167,0.514738591325401,1,0,1
0.917077226335087,0.0435261776468835,0.43763384292783,1,0,1
0.171143036648575,-12.0368878861324,0.299978751902146,1,0,1
0.0848480086186885,-14.3849075349221,0.336202365621564,1,0,1
4.93815825416225,-1.06847232262904,0.893970508021043,1,0,1
3.47812980949386,-2.30998149540392,0.84963855917564,1,0,1
2.50432385207603,-0.6353198652009,0.784053858928087,1,0,1
6.47054602150038,-1.49057088651051,0.648164508603465,1,0,1
2.89926938676873,-1.29618921958261,0.597448614437692,1,0,1
1.92040352202166,-1.61829508842104,0.543935581964393,1,0,1
2.73144266032906,-0.591308485946939,0.49164097302094,1,0,1
2.03720215505953,1.03567818893879,0.666486298230874,1,0,1
2.81737335821218,0.340750091223534,0.70433552534794,1,0,1
1.68676138154045,-0.15560588148409,0.698563484167018,1,0,1
0.254090513244582,-3.74408260984446,0.24538411921362,1,0,1
-0.0401653522960273,33.995684851411,0.350756940467829,1,0,1
0.380752864871344,5.00024527351842,0.694770217418884,1,0,1
0.142868494700792,-11.4235917897365,0.28434094163956,1,0,1
0.0636744939129356,-6.62932593138251,0.535201000074382,1,0,1
2.01960370536564,1.06508020673569,0.750676885567263,1,0,1
3.28308950248898,1.08841058839191,0.614887489938818,1,0,1
0.296772096142087,-5.76659641567526,0.279675213687873,1,0,1
0.754232157283922,0.386496715180403,0.519756733055257,1,0,1
0.759138881134974,-2.95631779589643,0.0559880049496501,1,0,1
0.567950534531041,-1.68134831913261,0.056458417914384,1,0,1
0.32649538666146,-11.196058745183,0.342762124515473,1,0,1
0.130296429406017,-19.8672091134458,0.314996714986344,1,0,1
0.449601435548459,-4.25357697656488,0.0859430116013851,1,0,1
1.17054010556322,-2.7150560678778,0.518706044389513,1,0,1
0.536800067914027,-2.42954392612862,0.521446043705712,1,0,1
2.05022252079268,0.0760391843574667,0.688103791730245,1,0,1
3.36131913111868,-3.00029821143288,0.667858687179492,1,0,1
2.35836523625787,-2.51431928728031,0.690426641860575,1,0,1
3.97029032798346,-0.417493168296028,0.661403407468819,1,0,1
5.79402912371223,-0.149062470650168,0.648966429119533,1,0,1
4.13169291089222,-1.6822838477516,0.89769111002196,1,0,1
4.7967843396227,-1.47748069476998,0.885981741320137,1,0,1
0.763934743057707,-1.18044920079951,0.485732005144972,1,0,1
