"item","outfit","z.outfit","infit","z.infit"
"binary_responses1",0.990254080449459,-0.17098059228629,0.534843162602091,NA
"binary_responses2",0.973244598398197,0.176219530273563,0.561839937477746,-2.39013296527054
"binary_responses3",1.07956154584179,0.32228164093658,0.558346160432748,-3.39740948002043
"binary_responses4",1.2672623052302,0.573285578733468,0.570313989806728,-1.65938775351644
"binary_responses6",0.784057645953696,-0.393107350035821,0.540550854450638,-3.76342721891297
"binary_responses7",1.12614889839712,0.454222488579163,0.549310058969593,-4.75661939971559
"binary_responses8",0.800191560705883,-0.30726302723713,0.54309076849565,-3.42812034241087
"binary_responses9",0.928422561224417,-0.486559960627355,0.538081801688789,-19.5716714315872
"binary_responses10",0.821924702575733,-0.444302235784858,0.551519559262657,-4.68251295050752
"binary_responses11",0.715345230934221,-0.887646303428376,0.542644910459142,-4.98438895067113
"binary_responses12",0.662234895977551,-0.70733257407761,0.54843857353356,-3.57907800099603
"binary_responses14",0.775556284777904,-0.551225073286813,0.551796466337435,-4.13914773640692
"binary_responses15",0.892081501341147,-0.410424120604095,0.545161619413184,-7.79695799896548
"binary_responses16",0.791519219034666,-0.493988681350257,0.552382531203205,-4.13646021749309
"binary_responses17",1.01342784602208,0.18663349940118,0.546186321948067,NA
"binary_responses18",0.810868009288254,-0.275079652057855,0.567611018504,-3.00064514368145
"binary_responses19",1.027573485856,0.206739691618784,0.550709003931663,-9.68103502082631
"binary_responses20",0.714053592355276,-0.283867910139797,0.571386180491597,-2.14183398803192
"binary_responses22",0.990246578967001,-0.195776908162642,0.539916626990564,NA
"binary_responses23",0.956971219004757,-0.343175876599436,0.539687910638644,NA
"binary_responses24",0.896481800169728,-0.762207778311194,0.534363578374114,-18.6252565253845
"binary_responses26",0.943126025107795,-0.371871137114466,0.539993708956844,-20.8160032429151
"binary_responses27",0.906054030024641,-0.631247299058965,0.538662747100752,-15.1016692838142
"binary_responses28",0.913325107687814,-0.330394467599079,0.54347145103179,-8.48663723450715
